Name	Protocol	Port	Comments
AOL		5190	AOL Instant Messenger. Also used by: ICQ & Apple iChat
AP-Defender		2626	Defender Authentication service
archie		1525	Archie Internet Protocol; search for files over FTP servers
AT-Defender		2626	Defender Authentication service
Back_Door_Setup_5000_		5000	Also used by:BioNet Lite;Blazer5;Bubbel trojans
Backage		411	Backage trojan
BGP		179	Border Gateway Protocol
biff		512	UNIX biff Protocol; give notice of incoming mail messages
Bionet-Setup		5000	Also used by: Blazer5 ; Bubbel and Back-door trojans
block_proxy_2301		2301	added because used in pete
Blubster		41170	Uses MANOLITO protocol
bootp		67	Bootstrap Protocol Server; users automatically configured 
Citrix_1494		1494	
citrix_AGS_9005		9005	
citrix_cms_2513		2513	2513
Citrix_ICA		1494	Citrix ICA general Service.
Citrix_ICA_1494_		1494	Citrix ICA general Service.
Citrix_ica_2598		2598	for When session reliability is enabled 
Citrix_ICA_Browsing		1604	UDP Service for general Citrix browsing
Citrix_ICA_Browsing_1604_		1604	Tcp Service for general Citrix browsing
citrix_ima_2512		2512	
citrix_MSDS_2897		2897	
CrackDown		4444	CrackDown trojan
CreativePartnerClnt		455	The Client listening port
CreativePartnerSrvr		453	The Server listening port
CTL_2444		2444	
CU-SeeMe		7648-7652	person-to-person or group discussions videoconference
DaCryptic		1074	DaCryptic trojan
DameWare		6129	DameWare Mini Remote Control Protocol
daytime-tcp		13	Daytime Server Protocol (TCP)
daytime-udp		13	Daytime Server Protocol (UDP)
DerSphere		1000	Also used by: Direct Connection;Connecter;Insane Network trojans
DerSphere_II		2000	Also used by:Insane Network;Last 2000;Remote Explorer 2000;Senna Spy Trojan Generator trojans
DerSphere_II_tcp_2000_		2000	Also used by:Insane Network;Last 2000;Remote Explorer 2000;Senna Spy Trojan Generator trojans
dhcp		67	
dhcp-relay		67	DHCP relay agent
dhcp-rep-localmodule		68	DHCP reply to enforcement module only
dhcp-req-localmodule		67	DHCP request from enforcement module only
Direct_Connect_TCP		411-412	Direct Connect P2P application. Used also by other clients
Direct_Connect_UDP		411-412	Direct Connect P2P application. Used also by other clients
discard-tcp		9	Discard Server Protocol (TCP)
discard-udp		9	Discard Server Protocol (UDP)
DNP3		20000	DNP3 is a set of communications protocols used between components in process automation systems. Its main use is in utilities such as electric and water companies
domain-tcp		53	Domain Name System Download
domain-udp		53	Domain Name System Queries
E2ECP		18241	Check Point End to End Control Protocol
earn_9000_9010		9000-9010	all ports used by earn/epic
EDGE		981	VPN-1 UTM Edge Portal
eDonkey_4661		4661	eDonkey protocol. Used also by other clients.
eDonkey_4662		4662	eDonkey protocol. Used also by other clients.
eDonkey_4665		4665	eDonkey protocol. Used also by other clients.
Entrust-Admin		710	Entrust CA Administration Service
Entrust-Admin-710_		710	Entrust CA Administration Service
Entrust-KeyMgmt		709	Entrust CA Key Management Service
Entrust-KeyMgmt_709_		709	Entrust CA Key Management Service
Entrust_Auth_Service_680		680	
Entrust_Basic_profile_service_640		640	
Entrust_Mapping_Service_681		681	
Entrust_Medium_profile_Service_641		641	
Entrust_PKIX-CMP-829		829	
exec		512	Remote execution (rexec)
F5_IQuerry-4353		4353	4353
f5_IQuery_UDP_4353		4353	
FIBMGR		2010	Forwarding Information Base Manager - Dynamic Routing Cluster config
finger		79	UNIX; Finger Protocol
Freak2k		7001	Also used by: Freak88;NetSnooper Gold trojans
Freak2k_7001_		7001	Also used by: Freak88;NetSnooper Gold trojans
FreeTel-outgoing-server		21300	real-time full-duplex voice communication via the Internet-server
ftp		21	File Transfer Protocol
ftp-bidir		21	File Transfer Protocol with bi-directional data transfer
ftp-pasv		21	File Transfer Protocol - PASV mode only
ftp-port		21	File Transfer Protocol - PORT mode only
ftp_data_20		20	
GateCrasher		6970	GateCrasher trojan
GNUtella_rtr_TCP		6347	Also used by: BearShare; ToadNode; Gnucleus; Xolox; LimeWire
GNUtella_rtr_UDP		6347	Also used by: BearShare; ToadNode; Gnucleus; Xolox; LimeWire
GNUtella_TCP		6346	Also used by: BearShare; ToadNode; Gnucleus; Xolox; LimeWire
GNUtella_UDP		6346	Also used by: BearShare; ToadNode; Gnucleus; Xolox; LimeWire
gopher		70	The Internet Gopher Protocol
GoToMyPC		8200	Remote Computer Access & Sharing application; also uses HTTP and HTTPS
GoToMyPC_8200_		8200	Remote Computer Access & Sharing application; also uses HTTP and HTTPS
gtp_default		3386	GPRS Tunnelling Protocol
gtp_mm_v0_default		3386	GTP Mobility Management version 0
gtp_mm_v1_default		2123	GTP Mobility Management version 1
gtp_v0_default		3386	GPRS Tunneling Protocol version 0
gtp_v1_default		2123	GPRS Tunneling Protocol version 1
gw_cl_1677		1677	GroupWise Client
gw_cl_1678		1678	groupwise client access
H323		1720	videoconference transmissions over IP networks
H323_any		1720	videoconference transmissions over IP networks
H323_ras		1719	RAS and associated connections (H.323 protocols)
H323_ras_only		1719	Endpoint to Gatekeeper and Gatekeeper to Gatekeeper communication
H323_ras_only_		1719	Endpoint to Gatekeeper and Gatekeeper to Gatekeeper communication
HackaTack_31785		31785	HackaTack
HackaTack_31787		31787	HackaTack trojan
HackaTack_31788		31788	HackaTack trojan
HackaTack_31789		31789	HackaTack trojan
HackaTack_31790		31790	HackaTack trojan
HackaTack_31791		31791	HackaTack trojan
HackaTack_31792		31792	HackaTack trojan
Hotline_client		5500-5503	Hotline client connections
hotline_client_5500		5500	
Hotline_client_5501-5503_		5501-5503	Hotline client connections
Hotline_tracker		5499	Hotline tracker connections
http		80	Hypertext Transfer Protocol
HTTP_and_HTTPS_proxy		8080	
HTTP_and_HTTPS_proxy_8080_		8080	
HTTP_proxy		8080	
https		443	HTTP protocol over TLS/SSL
HTTPS_proxy		8080	
icap		1344	
ICCP		102	ICCP is used by utility organizations throughout the world to provide data exchange over wide area networks (WANs) between utility control centers; utilities; power pools; regional control centers and Non-Utility Generators
ICKiller		1027	ICKiller
ICQ_locator		4000	Mirabilis ICQ versions
ident		113	Identify RCS keyword strings in files
IKE		500	IPSEC Internet Key Exchange Protocol (formerly ISAKMP/Oakley)
IKE_NAT_TRAVERSAL		4500	Nat Traversal Protocol
IKE_NAT_TRAVERSAL_TCP		4500	Nat Traversal Protocol
IKE_tcp	tcp	500	IPSEC Internet Key Exchange Protocol over TCP
imap		143	Interactive Mail Access Protocol
IMAP-SSL		993	SSL encrypted IMAP
IMAP_7993		7993	
iMesh		5000	This port also used by many trojans and the upnp service
InCommand		1029	Also used by: ICQ Nuke 98 trojan
indeni		8181	Communicate with indeni (www.indeni.com)
interphone		22555	Vocaltec Internet Phone
IPSO_Clustering_Mgmt_Protocol		1111	used for distributing configuration changes among cluster members and cluster wide monitoring
IQuery_245		245	
IQuery_4354		4354	
IQuery_4354_upd		4354	
irc1		6660-6670	Internet Relay Chat Protocol
irc2		7000	Internet Relay Chat Protocol
IS411-srvr		6499	
J_run_connecter_8082		8082	
j_Run_Connector_8081		8081	
jabber		5222	Jabber Protocol
Jade		1024	Also used by: Latinus;NetSpy;RAT trojans and  K Display Manager
Kaos		1212	Kaos trojan
KaZaA		1214	FastTrack (KaZaA/Morpheus) P2P Protocol
Kazaa_1214_		1214	FastTrack (Kazaa/Morpheus) P2P Protocol
kerberos-tcp		750	secure method for authenticating a request for service
kerberos-udp		750	secure method for authenticating a request for service
Kerberos_v5_TCP		88	Kerberos authentication protocol (version 5)
Kerberos_v5_TCP_88_		88	Kerberos authentication protocol (version 5)
Kerberos_v5_UDP		88	Kerberos authentication protocol (version 5)
Kerberos_v5_UDP_88_		88	Kerberos authentication protocol (version 5)
Kuang2		17300	Kuang2 trojan
L2TP		1701	Layer 2 Tunneling Protocol
ldap		389	Lightweight Directory Access Protocol
ldap-ssl		636	Lightweight Directory Access Protocol over TLS/SSL
ldap-ssl_636_		636	Lightweight Directory Access Protocol over TLS/SSL
ldap_389_		389	Lightweight Directory Access Protocol
ldap_udp		389	LDAP udp service
login		513	Remote login (rlogin)
lotus		1352	Lotus iNotes Web Access Protocol
lpdw0rm		515	Also used by: Ramen trojan and printer service.
lpdw0rm_515_		515	Also used by: Ramen trojan and printer service.
Madster		5025	Formerly called Aimster
Marimba_Netcaster		80	http subservice for QoS Software Blade use; Marimba Castanet Tuner product
MetaIP-UAT		5004	Check Point Meta IP UAM Client-Server Communication
MetaIP_GUI_18213		18213	Allow Mgmt from desktop
MetaIP_Mgr_18214		18214	MetaIP Manager Service
MGCP_2428		2428	
mgcp_CA		2727	Supported from version R55W; Media Gateway Control Protocol - Call-Agent port
mgcp_MG		2427	Supported from version R55W; Media Gateway Control Protocol - Media Gateway port
microsoft-ds		445	Microsoft CIFS over TCP
microsoft-ds-udp		445	Microsoft CIFS over UDP
microsoft-ds-udp_445_		445	Microsoft CIFS over UDP
microsoft-ds_445_		445	Microsoft CIFS over TCP
Microsoft_Channels		80	http subservice for QoS Software Blade use; Microsoft Channels
Mneah		4666	Mneah trojan
Modbus		502	Modbus is a serial communications protocol that is very popular in connecting industrial electronic devices
MS-SQL-Monitor		1434	Microsoft SQL Monitor
MS-SQL-Monitor_1434_		1434	Microsoft SQL Monitor
MS-SQL-Monitor_UDP		1434	Microsoft-SQL-Monitor_UDP
MS-SQL-Server		1433	Microsoft SQL Server
MS-SQL-Server_1433_		1433	Microsoft SQL Server
MS-SQL-Server_UDP		1433	Microsoft SQL Server
MSN_Messenger_1863_UDP		1863	Microsoft Network Messenger UDP
MSN_Messenger_5190		5190	Microsoft Network Messenger
MSN_Messenger_File_Transfer		6891-6900	Microsoft Network Messenger File Transfer
MSN_Messenger_Voice		6901	Microsoft Network Messenger Voice communication
MSNMS		1863	
MSNP		1863	MSN Messenger
MSSQL_resolver		1434	MS SQL Sapphire /SQL Slammer Worm
Multidropper		1035	Multidropper trojan
MySQL		3306	Supported from version R55W; MySQL database server
name		42	Host Name Server
Napster_Client_6600-6699		6600-6699	Napster clients. Also used by: WinMX
Napster_directory_4444		4444	Napster directory connections
Napster_directory_5555		5555	Napster directory connections
Napster_directory_6666		6666	Napster directory connections
Napster_directory_7777		7777	Napster directory connections
Napster_directory_8888_primary		8888	Napster directory connections (Primary)
Napster_redirector		8875	
nbdatagram		138	NetBios Datagram Service
nbdatagram_udp_138_		138	NetBios Datagram Service
nbname		137	NetBios Name Service
nbname_udp_137_		137	NetBios Name Service
nbsession		139	NetBios Session Service
nbsession_139_		139	NetBios Session Service
NCP		524	Novell NetWare Core Protocol
NCP_524_		524	Novell NetWare Core Protocol
netbios-session		139	
netshow		1755	Microsoft NetShow (Windows Media Player)
netstat		15	UNIX netstat Protocol; show network status
NEW-RADIUS		1812	NEW - Remote Authentication Dial-In User Service
NEW-RADIUS-ACCOUNTING		1813	NEW - Remote Authentication Dial-In User Service accounting
nfsd		2049	Network File System Daemon over UDP (earlier versions of NFS)
nfsd-tcp		2049	Network File System Daemon over TCP
nfsd-tcp_2049_		2049	Network File System Daemon over TCP
NJEOVERIP_175		175	
nntp		119	Network News Transfer Protocol
NoBackO		1201	NoBackO trojan
ntp-tcp		123	Network Time Protocol (TCP)
ntp-udp		123	Network Time Protocol (UDP)
ntp-udp_123_		123	Network Time Protocol (UDP)
OAS-NameServer		2649	Oracle Application Server (IIOP) NameServer
OAS-ORB		2651	Oracle Application Server (IIOP) ORB
OnTime		1622	
OPC		3480	OPC specifies the communication of real-time plant data between control devices from different manufacturers
OpenWindows		2000	
